"Ticker";"Nome";"Preco Atual";"Setor"
"GLPF11";"GLPF11";109.45;"Logística"
"GRAV11";"GRAV11";36.5;""
"GRUL11";"GRUL11";8.46;"Logística"
"GRWA11";"GRWA11";7.36;"Outros"
"GSFI11";"GSFI11";11.28;"Shoppings"
"GSRF11";"GSRF11";114.5;"Residencial"
"GTWR11";"GTWR11";80.26;"Escritórios"
"GZIT11";"GZIT11";43.93;""
"HAAA11";"HAAA11";55;"Escritórios"
"HABT11";"HABT11";71.33;"Multicategoria"
"HCHG11";"HCHG11";61.98;"Outros"
"HCRI11";"HCRI11";271;"Hospital"
"HCST11";"HCST11";35.1;"Multicategoria"
"HCTR11";"HCTR11";16.22;"Multicategoria"
"HDEL11";"HDEL11";3.3;"Logística"
"HDOF11";"HDOF11";90;"Escritórios"
"HFOF11";"HFOF11";6.31;"Multicategoria"
"HGAG11";"HGAG11";14;"Outros"
"HGBL11";"HGBL11";8.73;"Logística"
"HGBS11";"HGBS11";19.31;"Shoppings"
"HGCR11";"HGCR11";93.85;"Outros"
"HGIC11";"HGIC11";52.64;"Multicategoria"
"HGLG11";"HGLG11";148.22;"Multicategoria"
"HGRE11";"HGRE11";121.84;"Escritórios"
"HGRU11";"HGRU11";126.68;"Outros"
"HLOG11";"HLOG11";9.18;"Logística"
"HOFC11";"HOFC11";34.16;"Escritórios"
"HOMS11";"HOMS11";132;"Multicategoria"
"HOSI11";"HOSI11";77.56;"Residencial"
"HPDP11";"HPDP11";89.74;"Shoppings"
"HRDF11";"HRDF11";4;"Multicategoria"
"HREC11";"HREC11";8.23;"Multicategoria"
"HSAF11";"HSAF11";77.3;"Outros"
"HSLG11";"HSLG11";92.16;"Logística"
"HSML11";"HSML11";87.27;"Shoppings"
"HSRE11";"HSRE11";86.5;""
"HTMX11";"HTMX11";140.87;"Hotel"
"HUCG11";"HUCG11";88.89;"Hospital"
"HUSI11";"HUSI11";1010;"Hospital"
"IAGR11";"IAGR11";4.33;"Multicategoria"
"IBBP11";"IBBP11";8.03;"Logística"
"IBCR11";"IBCR11";45.06;"Outros"
"ICNE11";"ICNE11";687.82;"Residencial"
"ICRI11";"ICRI11";92.24;"Outros"
"INFB11";"INFB11";74.44;""
"INLG11";"INLG11";66;"Logística"
"INRD11";"INRD11";76.8;"Residencial"
