"Ticker";"Nome";"Preco Atual";"Setor";"Subsetor"
"PLPL3F";"PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.";7.39;"Finance";""
"PMAM3";"PARANAPANEMA S.A.";0.32;"Non-Energy Minerals";"Artefatos de Cobre"
"PMAM3F";"PARANAPANEMA S.A.";0.32;"Non-Energy Minerals";""
"PNVL3";"DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS";11.08;"Retail Trade";"Medicamentos e Outros Produtos"
"PNVL3F";"DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS";11.12;"Retail Trade";""
"POMO3";"MARCOPOLO S.A.";4.68;"Producer Manufacturing";"Material Rodoviário"
"POMO3F";"MARCOPOLO S.A.";4.69;"Producer Manufacturing";""
"POMO4";"MARCOPOLO S.A.";5.08;"Producer Manufacturing";""
"POMO4F";"MARCOPOLO S.A.";5.08;"Producer Manufacturing";""
"POSI3";"POSITIVO TECNOLOGIA S.A.";3.75;"Electronic Technology";"Computadores e Equipamentos"
"POSI3F";"POSITIVO TECNOLOGIA S.A.";3.77;"Electronic Technology";""
"PRIO3";"PRIO S.A.";58.54;"Energy Minerals";"Exploração e Produção de Petróleo"
"PRIO3F";"PRIO S.A.";58.55;"Energy Minerals";""
"PRNR3";"PRINER SERVIÇOS INDUSTRIAIS S.A.";18.13;"Industrial Services";"Serviços Diversos"
"PRNR3F";"PRINER SERVIÇOS INDUSTRIAIS S.A.";18.11;"Industrial Services";""
"PSSA3";"PORTO SEGURO S.A.";53.34;"Finance";"Seguradoras"
"PSSA3F";"PORTO SEGURO S.A.";53.38;"Finance";""
"PSVM11F";"PORTO SUDESTE V.M. S.A.";8.28;"Transportation";""
"PTBL3";"PBG S/A";1.68;"Producer Manufacturing";"Produtos para Construção"
"PTBL3F";"PBG S/A";1.68;"Producer Manufacturing";""
"QUAL3";"QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.";1.46;"Health Services";"Serv.Méd.Hospit..Análises e Diagnósticos"
"QUAL3F";"QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.";1.47;"Health Services";""
"RADL3";"RAIA DROGASIL S.A.";18.44;"Retail Trade";"Medicamentos e Outros Produtos"
"RADL3F";"RAIA DROGASIL S.A.";18.44;"Retail Trade";""
"RAIL3";"RUMO S.A.";13.29;"Transportation";"Transporte Ferroviário"
"RAIL3F";"RUMO S.A.";13.3;"Transportation";""
"RAIZ4";"RAIZEN S.A.";0.28;"Retail Trade";"Açúcar e Álcool"
"RAIZ4F";"RAIZEN S.A.";0.27;"Retail Trade";""
"RANI3";"IRANI PAPEL E EMBALAGEM S.A.";7.89;"Process Industries";"Embalagens"
"RANI3F";"IRANI PAPEL E EMBALAGEM S.A.";7.91;"Process Industries";""
"RAPT3";"RANDONCORP S.A.";4.62;"Producer Manufacturing";"Material Rodoviário"
"RAPT3F";"RANDONCORP S.A.";4.67;"Producer Manufacturing";""
"RAPT4";"RANDONCORP S.A.";4.67;"Producer Manufacturing";""
"RAPT4F";"RANDONCORP S.A.";4.68;"Producer Manufacturing";""
"RCSL3";"RECRUSUL S.A.";0.45;"Producer Manufacturing";"Material Rodoviário"
"RCSL3F";"RECRUSUL S.A.";0.49;"Producer Manufacturing";""
"RCSL4";"RECRUSUL S.A.";0.51;"Producer Manufacturing";""
"RCSL4F";"RECRUSUL S.A.";0.5;"Producer Manufacturing";""
"RDOR3";"REDE DOR SÃO LUIZ S.A.";33.37;"Health Services";"Serviços Médicos Hospitalares"
"RDOR3F";"REDE DOR SÃO LUIZ S.A.";33.39;"Health Services";""
"RECV3";"PETRORECÔNCAVO S.A.";10.3;"Energy Minerals";"Exploração e Produção de Petróleo"
"RECV3F";"PETRORECÔNCAVO S.A.";10.31;"Energy Minerals";""
"REDE3";"REDE ENERGIA PARTICIPAÇÕES S.A.";5.8;"Utilities";"Energia Elétrica"
"REDE3F";"REDE ENERGIA PARTICIPAÇÕES S.A.";5.82;"Utilities";""
"RENT3";"LOCALIZA RENT A CAR S.A.";36.73;"Finance";"Aluguel de Carros"
"RENT3F";"LOCALIZA RENT A CAR S.A.";36.73;"Finance";""
"RENT4";"LOCALIZA RENT A CAR S.A.";35.42;"Finance";""
"RENT4F";"LOCALIZA RENT A CAR S.A.";35.5;"Finance";""
"RIAA3";"RIAA3";7.77;"Distribution Services";"Tecidos. Vestuário e Calçados"
"RIAA3F";"RIAA3F";7.81;"Distribution Services";""
"RNEW3";"RENOVA ENERGIA S.A.";0.75;"Utilities";"Energia Elétrica"
"RNEW3F";"RENOVA ENERGIA S.A.";0.74;"Utilities";""
"RNEW4";"RENOVA ENERGIA S.A.";0.72;"Utilities";""
"RNEW4F";"RENOVA ENERGIA S.A.";0.72;"Utilities";""
"ROMI3";"ROMI S.A.";5.9;"Producer Manufacturing";"Máquinas e Equipamentos Industriais"
"ROMI3F";"ROMI S.A.";5.91;"Producer Manufacturing";""
"RPAD3";"ALFA HOLDINGS S.A.";6.51;"Finance";"Bancos"
"RPAD3F";"ALFA HOLDINGS S.A.";6.01;"Finance";""
"RPAD5";"ALFA HOLDINGS S.A.";7;"Finance";""
"RPAD5F";"ALFA HOLDINGS S.A.";6.99;"Finance";""
"RPAD6";"ALFA HOLDINGS S.A.";6.5;"Finance";""
"RPMG3";"REFINARIA DE PETROLEOS MANGUINHOS S.A.";1.13;"Energy Minerals";"Exploração. Refino e Distribuição"
"RPMG3F";"REFINARIA DE PETROLEOS MANGUINHOS S.A.";1.12;"Energy Minerals";""
"RSUL4";"METALURGICA RIOSULENSE S.A.";43.89;"Producer Manufacturing";""
"RSUL4F";"METALURGICA RIOSULENSE S.A.";43.87;"Producer Manufacturing";""
"RVEE3";"REVEE S.A.";0.89;"Miscellaneous";""
"RVEE3F";"REVEE S.A.";0.84;"Miscellaneous";""
"SANB11F";"BCO SANTANDER (BRASIL) S.A.";27.38;"Finance";""
"SANB3";"BCO SANTANDER (BRASIL) S.A.";13.41;"Finance";"Bancos"
"SANB3F";"BCO SANTANDER (BRASIL) S.A.";13.42;"Finance";""
"SANB4";"BCO SANTANDER (BRASIL) S.A.";13.94;"Finance";""
"SANB4F";"BCO SANTANDER (BRASIL) S.A.";13.95;"Finance";""
"SAPR11F";"CIA SANEAMENTO DO PARANA - SANEPAR";36.14;"Utilities";""
"SAPR3";"CIA SANEAMENTO DO PARANA - SANEPAR";8.17;"Utilities";"Água e Saneamento"
"SAPR3F";"CIA SANEAMENTO DO PARANA - SANEPAR";8.17;"Utilities";""
"SAPR4";"CIA SANEAMENTO DO PARANA - SANEPAR";7;"Utilities";""
"SAPR4F";"CIA SANEAMENTO DO PARANA - SANEPAR";7.01;"Utilities";""
"SAUD3";"SAUD3";14.71;"Health Services";""
"SAUD3F";"SAUD3F";14.71;"Health Services";""
"SBFG3";"GRUPO SBF SA";9.4;"Retail Trade";"Produtos Diversos"
"SBFG3F";"GRUPO SBF SA";9.36;"Retail Trade";""
"SBSP3";"CIA SANEAMENTO BASICO EST SAO PAULO";28.51;"Utilities";"Água e Saneamento"
"SBSP3F";"CIA SANEAMENTO BASICO EST SAO PAULO";28.51;"Utilities";""
"SCAR3";"SAO CARLOS EMPREEND E PARTICIPACOES S.A.";12.14;"Finance";"Exploração de Imóveis"
"SCAR3F";"SAO CARLOS EMPREEND E PARTICIPACOES S.A.";12.14;"Finance";""
"SEER3";"SER EDUCACIONAL S.A.";11.64;"Consumer Services";"Serviços Educacionais"
"SEER3F";"SER EDUCACIONAL S.A.";11.67;"Consumer Services";""
"SEQL3";"SEQUOIA LOGISTICA E TRANSPORTES S.A";0.06;"Transportation";""
"SEQL3F";"SEQUOIA LOGISTICA E TRANSPORTES S.A";0.07;"Transportation";""
"SHOW3";"T4F ENTRETENIMENTO S.A.";6.03;"Consumer Services";"Produção de Eventos e Shows"
"SHOW3F";"T4F ENTRETENIMENTO S.A.";6.03;"Consumer Services";""
"SHUL4";"SCHULZ S.A.";4.48;"Producer Manufacturing";""
"SHUL4F";"SCHULZ S.A.";4.49;"Producer Manufacturing";""
"SIMH3";"SIMPAR S.A.";7.36;"Transportation";"Holdings Diversificadas"
"SIMH3F";"SIMPAR S.A.";7.39;"Transportation";""
"SLCE3";"SLC AGRICOLA S.A.";13.65;"Process Industries";"Agricultura"
"SLCE3F";"SLC AGRICOLA S.A.";13.67;"Process Industries";""
"SMFT3";"SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.";19.9;"Consumer Services";"Atividades Esportivas"
"SMFT3F";"SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.";19.89;"Consumer Services";""
"SMTO3";"SAO MARTINHO S.A.";15.43;"Process Industries";"Açúcar e Álcool"
"SMTO3F";"SAO MARTINHO S.A.";15.43;"Process Industries";""
"SNSY3";"SANSUY S.A. INDUSTRIA DE PLASTICOS";9.13;"Producer Manufacturing";"Materiais Diversos"
"SNSY3F";"SANSUY S.A. INDUSTRIA DE PLASTICOS";9.12;"Producer Manufacturing";""
"SNSY5";"SANSUY S.A. INDUSTRIA DE PLASTICOS";2.43;"Producer Manufacturing";""
"SNSY5F";"SANSUY S.A. INDUSTRIA DE PLASTICOS";2.17;"Producer Manufacturing";""
"SOJA3";"BOA SAFRA SEMENTES S.A.";5.79;"Process Industries";"Agricultura"
"SOJA3F";"BOA SAFRA SEMENTES S.A.";5.78;"Process Industries";""
"SOND5F";"SONDOTECNICA ENGENHARIA SOLOS S.A.";77.09;"Industrial Services";""
"SOND6F";"SONDOTECNICA ENGENHARIA SOLOS S.A.";80.77;"Industrial Services";""
"SUZB3";"SUZANO S.A.";41.91;"Process Industries";"Papel e Celulose"
"SUZB3F";"SUZANO S.A.";41.95;"Process Industries";""
"SYNE3";"SYN PROP E TECH S.A.";4.02;"Finance";"Exploração de Imóveis"
"SYNE3F";"SYN PROP E TECH S.A.";4.02;"Finance";""
"TAEE11F";"TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.";41.14;"Industrial Services";""
"TAEE3";"TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.";13.57;"Industrial Services";"Energia Elétrica"
"TAEE3F";"TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.";13.58;"Industrial Services";""
"TAEE4";"TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.";13.77;"Industrial Services";""
"TAEE4F";"TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.";13.77;"Industrial Services";""
"TASA3";"TAURUS ARMAS S.A.";5.14;"Electronic Technology";"Armas e Munições"
"TASA3F";"TAURUS ARMAS S.A.";5.19;"Electronic Technology";""
"TASA4";"TAURUS ARMAS S.A.";4.72;"Electronic Technology";""
"TASA4F";"TAURUS ARMAS S.A.";4.74;"Electronic Technology";""
"TCSA3";"TECNISA S.A.";0.68;"Finance";"Incorporações"
"TCSA3F";"TECNISA S.A.";0.67;"Finance";""
"TECN3";"TECHNOS S.A.";9.75;"Consumer Durables";"Acessórios"
"TECN3F";"TECHNOS S.A.";9.65;"Consumer Durables";""
"TELB3";"TELEC BRASILEIRAS S.A. TELEBRAS";10.19;"Communications";"Telecomunicações"
"TELB3F";"TELEC BRASILEIRAS S.A. TELEBRAS";10.19;"Communications";""
"TELB4";"TELEC BRASILEIRAS S.A. TELEBRAS";7.34;"Communications";""
"TELB4F";"TELEC BRASILEIRAS S.A. TELEBRAS";7.3;"Communications";""
"TEND3";"CONSTRUTORA TENDA S.A.";29.72;"Finance";"Incorporações"
"TEND3F";"CONSTRUTORA TENDA S.A.";29.77;"Finance";""
"TFCO4";"TRACK & FIELD CO S.A.";13.83;"Retail Trade";"Vestuário"
"TFCO4F";"TRACK & FIELD CO S.A.";13.77;"Retail Trade";""
"TGMA3";"TEGMA GESTAO LOGISTICA S.A.";30.16;"Transportation";"Transporte Rodoviário"
"TGMA3F";"TEGMA GESTAO LOGISTICA S.A.";30.15;"Transportation";""
"TIMS3";"TIM S.A.";22.41;"Communications";"Telecomunicações"
"TIMS3F";"TIM S.A.";22.42;"Communications";""
"TOKY3";"TOKY3";0.44;"Technology Services";""
"TOKY3F";"TOKY3F";0.44;"Technology Services";""
"TOTS3";"TOTVS S.A.";28.54;"Technology Services";"Programas e Serviços"
"TOTS3F";"TOTVS S.A.";28.57;"Technology Services";""
"TPIS3";"TPI - TRIUNFO PARTICIP. E INVEST. S.A.";9.28;"Transportation";"Exploração de Rodovias"
"TPIS3F";"TPI - TRIUNFO PARTICIP. E INVEST. S.A.";9.21;"Transportation";""
"TRIS3";"TRISUL S.A.";4.03;"Consumer Durables";"Incorporações"
"TRIS3F";"TRISUL S.A.";4.04;"Consumer Durables";""
"TTEN3";"TRÊS TENTOS AGROINDUSTRIAL S/A";15.14;"Commercial Services";"Agricultura"
"TTEN3F";"TRÊS TENTOS AGROINDUSTRIAL S/A";15.17;"Commercial Services";""
"TUPY3";"TUPY S.A.";15.49;"Producer Manufacturing";"Material Rodoviário"
"TUPY3F";"TUPY S.A.";15.5;"Producer Manufacturing";""
"TXRX3F";"TEXTIL RENAUXVIEW S.A.";6.42;"Process Industries";""
"TXRX4F";"TEXTIL RENAUXVIEW S.A.";1.65;"Process Industries";""
"UCAS3";"UNICASA INDÚSTRIA DE MÓVEIS S.A.";1.21;"Consumer Durables";"Móveis"
"UCAS3F";"UNICASA INDÚSTRIA DE MÓVEIS S.A.";1.22;"Consumer Durables";""
"UGPA3";"ULTRAPAR PARTICIPACOES S.A.";31.45;"Retail Trade";"Exploração, Refino e Distribuição"
"UGPA3F";"ULTRAPAR PARTICIPACOES S.A.";31.47;"Retail Trade";""
"UNIP3";"UNIPAR CARBOCLORO S.A.";57.67;"Process Industries";"Químicos Diversos"
"UNIP3F";"UNIPAR CARBOCLORO S.A.";57.69;"Process Industries";""
"UNIP5";"UNIPAR CARBOCLORO S.A.";62.01;"Process Industries";""
"UNIP5F";"UNIPAR CARBOCLORO S.A.";62.01;"Process Industries";""
"UNIP6";"UNIPAR CARBOCLORO S.A.";61.13;"Process Industries";""
"UNIP6F";"UNIPAR CARBOCLORO S.A.";61.17;"Process Industries";""
"USIM3";"USINAS SID DE MINAS GERAIS S.A.-USIMINAS";7.42;"Non-Energy Minerals";"Siderurgia"
"USIM3F";"USINAS SID DE MINAS GERAIS S.A.-USIMINAS";7.43;"Non-Energy Minerals";""
"USIM5";"USINAS SID DE MINAS GERAIS S.A.-USIMINAS";8.3;"Non-Energy Minerals";"Siderurgia"
"USIM5F";"USINAS SID DE MINAS GERAIS S.A.-USIMINAS";8.29;"Non-Energy Minerals";""
"USIM6F";"USINAS SID DE MINAS GERAIS S.A.-USIMINAS";8.51;"Non-Energy Minerals";""
"VALE3";"VALE S.A.";72.31;"Non-Energy Minerals";"Mineração de Minerais Metálicos"
"VALE3F";"VALE S.A.";72.34;"Non-Energy Minerals";""
"VAMO3";"VAMOS LOCAÇÃO DE CAMINHÕES. MÁQUINAS E EQUIP. S.A.";3.12;"Finance";"Aluguel de Carros"
"VAMO3F";"VAMOS LOCAÇÃO DE CAMINHÕES. MÁQUINAS E EQUIP. S.A.";3.13;"Finance";""
"VBBR3";"VIBRA ENERGIA S.A.";33.42;"Retail Trade";"Exploração, Refino e Distribuição"
"VBBR3F";"VIBRA ENERGIA S.A.";33.4;"Retail Trade";""
"VITT3";"VITTIA S.A.";3.42;"Process Industries";"Fertilizantes e Defensivos"
"VITT3F";"VITTIA S.A.";3.4;"Process Industries";""
"VIVA3";"VIVARA PARTICIPAÇOES S.A";21.43;"Consumer Durables";"Acessórios"
"VIVA3F";"VIVARA PARTICIPAÇOES S.A";21.44;"Consumer Durables";""
"VIVR3";"VIVER INCORPORADORA E CONSTRUTORA S.A.";1.69;"Consumer Durables";"Incorporações"
"VIVR3F";"VIVER INCORPORADORA E CONSTRUTORA S.A.";1.77;"Consumer Durables";""
"VIVT3";"TELEFÔNICA BRASIL S.A";35.51;"Communications";"Telecomunicações"
"VIVT3F";"TELEFÔNICA BRASIL S.A";35.52;"Communications";""
"VLID3";"VALID SOLUÇÕES S.A.";17.55;"Commercial Services";"Serviços Diversos"
"VLID3F";"VALID SOLUÇÕES S.A.";17.58;"Commercial Services";""
"VSTE3";"VESTE S.A. ESTILO";2.74;"Consumer Non-Durables";"Tecidos. Vestuário e Calçados"
"VSTE3F";"VESTE S.A. ESTILO";2.75;"Consumer Non-Durables";""
"VTRU3";"VITRU EDUCAÇÃO S.A";12.07;"Commercial Services";"Serviços Educacionais"
"VTRU3F";"VITRU EDUCAÇÃO S.A";12.11;"Commercial Services";""
"VULC3";"VULCABRAS S.A.";14.11;"Consumer Non-Durables";"Calçados"
"VULC3F";"VULCABRAS S.A.";14.13;"Consumer Non-Durables";""
"VVEO3";"CM HOSPITALAR S.A.";0.58;"Distribution Services";"Medicamentos e Outros Produtos"
"VVEO3F";"CM HOSPITALAR S.A.";0.57;"Distribution Services";""
"WDCN3";"WDCN3";2.29;"Distribution Services";"Programas e Serviços"
"WDCN3F";"WDCN3F";2.28;"Distribution Services";""
"WEGE3";"WEG S.A.";42.84;"Producer Manufacturing";"Máquinas e Equipamentos"
"WEGE3F";"WEG S.A.";42.87;"Producer Manufacturing";""
"WEST3";"WESTWING COMERCIO VAREJISTA S.A.";3.48;"Retail Trade";"Móveis"
"WEST3F";"WESTWING COMERCIO VAREJISTA S.A.";3.46;"Retail Trade";""
"WHRL3";"WHIRLPOOL S.A.";3.89;"Consumer Durables";"Eletrodomésticos"
"WHRL3F";"WHIRLPOOL S.A.";3.87;"Consumer Durables";""
"WHRL4";"WHIRLPOOL S.A.";3.97;"Consumer Durables";""
"WHRL4F";"WHIRLPOOL S.A.";3.97;"Consumer Durables";""
"WIZC3";"WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.";8.23;"Finance";"Corretoras de Seguros e Resseguros"
"WIZC3F";"WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.";8.25;"Finance";""
"WLMM3";"WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.";20.19;"Distribution Services";"Material de Transporte"
"WLMM3F";"WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.";17.32;"Distribution Services";""
"WLMM4";"WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.";16.6;"Distribution Services";""
"WLMM4F";"WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.";17.49;"Distribution Services";""
"YDUQ3";"YDUQS PARTICIPACOES S.A.";7.91;"Commercial Services";"Serviços Educacionais"
"YDUQ3F";"YDUQS PARTICIPACOES S.A.";7.91;"Commercial Services";""
